,seed_id
10fthf_c,cpd00201
12dgr120_c,cpd15306
12dgr120_p,cpd15306
12dgr140_c,cpd15307
12dgr140_p,cpd15307
12dgr141_c,cpd15308
12dgr141_p,cpd15308
12dgr160_c,cpd15309
12dgr160_p,cpd15309
12dgr161_c,cpd15310
12dgr161_p,cpd15310
12dgr180_c,cpd15311
12dgr180_p,cpd15311
12dgr181_c,cpd15312
12dgr181_p,cpd15312
12ppd-R_c,cpd01861
12ppd-R_e,cpd01861
12ppd-R_p,cpd01861
12ppd-S_c,cpd00453
12ppd-S_e,cpd00453
12ppd-S_p,cpd00453
13dpg_c,cpd00203
14dhncoa_c,cpd11217
14glucan_c,cpd11735
14glucan_e,cpd11735
14glucan_p,cpd11735
15dap_c,cpd01155
15dap_e,cpd01155
15dap_p,cpd01155
1agpe120_p,cpd15313
1agpe140_p,cpd15314
1agpe141_p,cpd15315
1agpe160_p,cpd15316
1agpe161_p,cpd15317
1agpe180_p,cpd12547
1agpe181_p,cpd19866
1agpg120_p,cpd15318
1agpg140_p,cpd15319
1agpg141_p,cpd15320
1agpg160_p,cpd15321
1agpg161_p,cpd15322
1agpg180_p,cpd15323
1agpg181_p,cpd15324
1ddecg3p_c,cpd15325
1ddecg3p_p,cpd15325
1hdec9eg3p_c,cpd15326
1hdec9eg3p_p,cpd15326
1hdecg3p_c,cpd15327
1hdecg3p_p,cpd15327
1odec11eg3p_c,cpd15328
1odec11eg3p_p,cpd15328
1odecg3p_c,cpd15329
1odecg3p_p,cpd15329
1pyr5c_c,cpd02431
1tdec7eg3p_c,cpd15330
1tdec7eg3p_p,cpd15330
1tdecg3p_c,cpd15331
1tdecg3p_p,cpd15331
23camp_e,cpd01570
23camp_p,cpd01570
23ccmp_e,cpd01571
23ccmp_p,cpd01571
23cgmp_e,cpd03702
23cgmp_p,cpd03702
23cump_e,cpd01572
23cump_p,cpd01572
23dappa_c,cpd03828
23dappa_e,cpd03828
23dappa_p,cpd03828
23ddhb_c,cpd02566
23dhacoa_c,cpd09843
23dhb_c,cpd00168
23dhba_c,cpd02494
23dhbzs_c,cpd15332
23dhdp_c,cpd02120
23dhmb_c,cpd02498
23dhmp_c,cpd02535
23doguln_c,cpd02784
25aics_c,cpd02921
25dkglcn_c,cpd01793
25drapp_c,cpd00957
26dap-LL_c,cpd00504
26dap-M_c,cpd00516
26dap-M_e,cpd00516
26dap-M_p,cpd00516
2agpe120_c,cpd15336
2agpe120_p,cpd15336
2agpe140_c,cpd15337
2agpe140_p,cpd15337
2agpe141_c,cpd15338
2agpe141_p,cpd15338
2agpe160_c,cpd15339
2agpe160_p,cpd15339
2agpe161_c,cpd15340
2agpe161_p,cpd15340
2agpe180_c,cpd15341
2agpe180_p,cpd15341
2agpe181_c,cpd15342
2agpe181_p,cpd15342
2agpg120_c,cpd15343
2agpg120_p,cpd15343
2agpg140_c,cpd15344
2agpg140_p,cpd15344
2agpg141_c,cpd15345
2agpg141_p,cpd15345
2agpg160_c,cpd15346
2agpg160_p,cpd15346
2agpg161_c,cpd15347
2agpg161_p,cpd15347
2agpg180_c,cpd15348
2agpg180_p,cpd15348
2agpg181_c,cpd15349
2agpg181_p,cpd15349
2ahbut_c,cpd00498
2amsa_c,cpd08626
2aobut_c,cpd02211
2cpr5p_c,cpd00956
2dda7p_c,cpd02857
2ddecg3p_c,cpd15350
2ddecg3p_p,cpd15350
2ddg6p_c,cpd02711
2ddglcn_c,cpd00176
2ddglcn_e,cpd00176
2ddglcn_p,cpd00176
2dh3dgal6p_c,cpd00945
2dh3dgal_c,cpd00894
2dhguln_c,cpd15351
2dhp_c,cpd00712
2dmmq8_c,cpd15352
2dmmql8_c,cpd15353
2dr1p_c,cpd00509
2dr5p_c,cpd00510
2fe1s_c,NA
2fe2s_c,NA
2h3oppan_c,cpd00843
2hdec9eg3p_c,cpd15354
2hdec9eg3p_p,cpd15354
2hdecg3p_c,cpd15355
2hdecg3p_p,cpd15355
2ippm_c,cpd01710
2mahmp_c,cpd02894
2mcacn_c,cpd02597
2mcit_c,cpd01501
2me4p_c,cpd08286
2mecdp_c,cpd08301
2obut_c,cpd00094
2odec11eg3p_c,cpd15357
2odec11eg3p_p,cpd15357
2odecg3p_c,cpd15358
2odecg3p_p,cpd15358
2ohph_c,cpd03445
2ombzl_c,cpd15359
2omhmbl_c,cpd15360
2ommbl_c,cpd15361
2omph_c,cpd03446
2oph_c,cpd03444
2oxpaccoa_c,cpd19832
2p4c2me_c,cpd08288
2pg_c,cpd00482
2pglyc_c,cpd00727
2sephchc_c,cpd16335
2shchc_c,cpd03451
2tdec7eg3p_c,cpd15362
2tdec7eg3p_p,cpd15362
2tdecg3p_c,cpd15363
2tdecg3p_p,cpd15363
2tpr3dpcoa_c,cpd15364
34dhpac_e,cpd02500
34dhpac_p,cpd02500
34hpp_c,cpd00868
35cgmp_c,cpd00697
3amac_c,cpd19833
3amp_e,cpd00988
3amp_p,cpd00988
3c2hmp_c,cpd02693
3c3hmp_c,cpd01646
3c4mop_c,cpd02605
3cmp_e,cpd03454
3cmp_p,cpd03454
3dhguln_c,cpd00473
3dhgulnp_c,cpd10596
3dhq_c,cpd00699
3dhsk_c,cpd01716
3fe4s_c,NA
3gmp_e,cpd03701
3gmp_p,cpd03701
3haACP_c,cpd11836
3hadpcoa_c,cpd09844
3hbcoa_c,cpd00842
3hcddec5eACP_c,cpd15366
3hcinnm_c,cpd09252
3hcinnm_e,cpd09252
3hcinnm_p,cpd09252
3hcmrs7eACP_c,cpd15368
3hcpalm9eACP_c,cpd15369
3hcvac11eACP_c,cpd15370
3hdcoa_c,cpd03118
3hddcoa_c,cpd03116
3hddecACP_c,cpd11480
3hdecACP_c,cpd11482
3hhcoa_c,cpd03122
3hhdcoa_c,cpd03113
3hhexACP_c,cpd11479
3hmrsACP_c,cpd11484
3hocoa_c,cpd03120
3hoctACP_c,cpd11483
3hoctaACP_c,cpd15371
3hodcoa_c,cpd15204
3hpalmACP_c,cpd11481
3hpp_c,cpd00745
3hpp_e,cpd00745
3hpp_p,cpd00745
3hpppn_c,cpd08304
3hpppn_e,cpd08304
3hpppn_p,cpd08304
3htdcoa_c,cpd03115
3ig3p_c,cpd02210
3mob_c,cpd00123
3mop_c,cpd00508
3ocddec5eACP_c,cpd15373
3ocmrs7eACP_c,cpd15374
3ocpalm9eACP_c,cpd15375
3ocvac11eACP_c,cpd15376
3odcoa_c,cpd03119
3oddcoa_c,cpd03117
3oddecACP_c,cpd11489
3odecACP_c,cpd11487
3ohcoa_c,cpd03123
3ohdcoa_c,cpd03114
3ohexACP_c,cpd11486
3omrsACP_c,cpd11491
3oocoa_c,cpd03121
3ooctACP_c,cpd11490
3ooctdACP_c,cpd15377
3oodcoa_c,cpd14935
3opalmACP_c,cpd11485
3ophb_c,cpd03443
3otdcoa_c,cpd12689
3oxdhscoa_c,cpd19834
3pg_c,cpd00169
3php_c,cpd02069
3psme_c,cpd00932
3sala_c,cpd00467
3ump_e,cpd00989
3ump_p,cpd00989
4abut_c,cpd00281
4abut_e,cpd00281
4abut_p,cpd00281
4abutn_c,cpd00434
4abz_c,cpd00443
4adcho_c,cpd08210
4ahmmp_c,cpd00939
4ampm_c,cpd02775
4c2me_c,cpd08287
4crsol_c,cpd01042
4fe4s_c,NA
4h2opntn_c,cpd02258
4hbz_c,cpd00136
4hoxpacd_e,cpd02361
4hoxpacd_p,cpd02361
4hthr_c,cpd03608
4mhetz_c,cpd02636
4mop_c,cpd00200
4mpetz_c,cpd02654
4pasp_c,cpd01977
4per_c,cpd02147
4ppan_c,cpd02201
4ppcys_c,cpd02666
4r5au_c,cpd02882
56dura_c,cpd00337
5aizc_c,cpd02893
5aop_c,cpd00338
5aprbu_c,cpd02720
5apru_c,cpd00931
5caiz_c,cpd11310
5dglcn_c,cpd00781
5dglcn_e,cpd00781
5dglcn_p,cpd00781
5dh4dglc_c,cpd00515
5drib_c,cpd15380
5fthf_c,cpd02197
5mta_c,cpd00147
5mthf_c,cpd00345
5mtr_c,cpd01981
5mtr_e,cpd01981
5mtr_p,cpd01981
5prdmbz_c,cpd02904
6hmhpt_c,cpd00954
6hmhptpp_c,cpd02920
6pgc_c,cpd00284
6pgl_c,cpd00911
8aonn_c,cpd00800
ACP_c,cpd11493
LalaDgluMdapDala_c,cpd15387
LalaDgluMdapDala_e,cpd15387
LalaDgluMdapDala_p,cpd15387
LalaDgluMdap_c,cpd15386
LalaDgluMdap_e,cpd15386
LalaDgluMdap_p,cpd15386
LalaDglu_c,cpd15385
LalaDglu_e,cpd15385
LalaDglu_p,cpd15385
LalaLglu_c,cpd15388
LalaLglu_e,cpd15388
LalaLglu_p,cpd15388
N1aspmd_c,cpd00470
Nmtrp_c,cpd15389
Sfglutth_c,cpd00759
aacald_c,cpd04122
aacoa_c,cpd00279
aact_c,cpd01298
acACP_c,cpd11494
ac_c,cpd00029
ac_e,cpd00029
ac_p,cpd00029
acac_c,cpd00142
acac_e,cpd00142
acac_p,cpd00142
acald_c,cpd00071
acald_e,cpd00071
acald_p,cpd00071
acanth_c,cpd03773
accoa_c,cpd00022
acetol_c,cpd03105
acg5p_c,cpd02552
acg5sa_c,cpd00918
acgal1p_e,cpd15390
acgal1p_p,cpd15390
acgal_e,cpd00832
acgal_p,cpd00832
acgam1p_c,cpd02611
acgam1p_e,cpd02611
acgam1p_p,cpd02611
acgam6p_c,cpd00293
acgam_c,cpd00122
acgam_e,cpd00122
acgam_p,cpd00122
acglc-D_c,cpd01726
acglu_c,cpd00477
acmalt_c,cpd01441
acmana_c,cpd00492
acmana_e,cpd00492
acmana_p,cpd00492
acmanap_c,cpd02612
acmum6p_c,cpd15391
acmum_e,cpd01757
acmum_p,cpd01757
acnam_c,cpd00232
acnam_e,cpd00232
acnam_p,cpd00232
acolipa_e,cpd15392
acolipa_p,cpd15392
acon-C_c,cpd00331
acon-T_c,cpd01563
aconm_c,cpd08353
acorn_c,cpd00342
acser_c,cpd00722
acser_e,cpd00722
acser_p,cpd00722
actACP_c,cpd11488
actp_c,cpd00196
ade_c,cpd00128
ade_e,cpd00128
ade_p,cpd00128
adn_c,cpd00182
adn_e,cpd00182
adn_p,cpd00182
adocbi_c,cpd03918
adocbip_c,cpd03919
adocbl_c,cpd00166
adocbl_e,cpd00166
adocbl_p,cpd00166
adp_c,cpd00008
adpglc_c,cpd00387
adphep-DD_c,cpd03830
adphep-LD_c,cpd03831
adprib_c,cpd00251
ag_c,cpd04100
ag_e,cpd04100
agdpcbi_c,cpd03920
agm_c,cpd00152
agm_e,cpd00152
agm_p,cpd00152
ahcys_c,cpd00019
ahdt_c,cpd02978
aicar_c,cpd02851
air_c,cpd02140
akg_c,cpd00024
akg_e,cpd00024
akg_p,cpd00024
ala-B_c,cpd00085
ala-B_e,cpd00085
ala-B_p,cpd00085
ala-D_c,cpd00117
ala-D_e,cpd00117
ala-D_p,cpd00117
ala-L_c,cpd00035
ala-L_e,cpd00035
ala-L_p,cpd00035
alaala_c,cpd00731
alaala_e,cpd00731
alaala_p,cpd00731
alac-S_c,cpd00668
alatrna_c,cpd11770
all-D_c,cpd01055
all-D_e,cpd01055
all-D_p,cpd01055
all6p_c,cpd01901
alltn_c,cpd01092
alltn_e,cpd01092
alltn_p,cpd01092
alltt_c,cpd00388
allul6p_c,cpd15394
alpp_p,cpd15395
altrn_c,cpd00608
amet_c,cpd00017
ametam_c,cpd00837
amob_c,cpd02701
amp_c,cpd00018
amp_e,cpd00018
amp_p,cpd00018
anhgm3p_c,cpd15397
anhgm3p_p,cpd15397
anhgm4p_c,cpd15398
anhgm4p_p,cpd15398
anhgm_c,cpd15396
anhgm_e,cpd15396
anhgm_p,cpd15396
anhm3p_c,cpd15400
anhm4p_c,cpd15401
anhm_c,cpd15399
anth_c,cpd00093
ap4a_c,cpd00924
ap5a_c,cpd02511
apg120_c,cpd15402
apg140_c,cpd15403
apg141_c,cpd15404
apg160_c,cpd15405
apg161_c,cpd15406
apg180_c,cpd15407
apg181_c,cpd15408
apoACP_c,cpd12370
appl_c,cpd02039
aps_c,cpd00193
ara5p_c,cpd00817
arab-L_c,cpd00224
arab-L_e,cpd00224
arab-L_p,cpd00224
aragund_c,cpd15410
arbt6p_c,cpd03697
arbt_e,cpd03696
arbt_p,cpd03696
arbtn-fe3_c,cpd03294
arbtn-fe3_e,cpd03294
arbtn-fe3_p,cpd03294
arbtn_c,cpd15411
arbtn_e,cpd15411
arbtn_p,cpd15411
arg-L_c,cpd00051
arg-L_e,cpd00051
arg-L_p,cpd00051
argsuc_c,cpd02152
argtrna_c,cpd12036
ascb-L_e,cpd00059
ascb-L_p,cpd00059
ascb6p_c,cpd14905
asn-L_c,cpd00132
asn-L_e,cpd00132
asn-L_p,cpd00132
asntrna_c,cpd12313
aso3_c,cpd04098
aso3_e,cpd04098
aso3_p,cpd04098
aso4_c,cpd01048
asp-L_c,cpd00041
asp-L_e,cpd00041
asp-L_p,cpd00041
aspsa_c,cpd00346
asptrna_c,cpd12226
athr-L_c,cpd03282
athtp_c,cpd19835
atp_c,cpd00002
b2coa_c,cpd00650
bbtcoa_c,cpd15412
betald_c,cpd00447
bglycogen_c,cpd15413
bglycogenn1_c,NA
bmoco1gdp_c,NA
bmoco_c,NA
bmocogdp_c,NA
btal_c,cpd01011
btcoa_c,cpd00120
btn_c,cpd00104
btn_e,cpd00104
btn_p,cpd00104
btnso_c,cpd15414
but2eACP_c,cpd11465
butACP_c,cpd11464
but_c,cpd00211
but_e,cpd00211
but_p,cpd00211
butso3_c,cpd11596
butso3_e,cpd11596
butso3_p,cpd11596
bwco1gdp_c,NA
bwco_c,NA
bwcogdp_c,NA
ca2_c,cpd00063
ca2_e,cpd00063
ca2_p,cpd00063
camp_c,cpd00446
cbasp_c,cpd00343
cbi_c,cpd03422
cbi_e,cpd03422
cbi_p,cpd03422
cbl1_c,cpd00635
cbl1_e,cpd00635
cbl1_p,cpd00635
cbm_c,cpd01101
cbp_c,cpd00146
cd2_c,cpd01012
cd2_e,cpd01012
cd2_p,cpd01012
cddec5eACP_c,cpd15415
cdec3eACP_c,cpd15416
cdg_c,cpd19836
cdp_c,cpd00096
cdpdddecg_c,cpd15417
cdpdhdec9eg_c,cpd15418
cdpdhdecg_c,cpd15419
cdpdodec11eg_c,cpd15420
cdpdodecg_c,cpd15421
cdpdtdec7eg_c,cpd15422
cdpdtdecg_c,cpd15423
cechddd_c,cpd08405
cenchddd_c,cpd09253
cgly_c,cpd01017
cgly_e,cpd01017
cgly_p,cpd01017
chol_c,cpd00098
chol_e,cpd00098
chol_p,cpd00098
chor_c,cpd00216
chtbs6p_c,cpd19837
chtbs_e,cpd01157
chtbs_p,cpd01157
cinnm_c,cpd00333
cit_c,cpd00137
cit_e,cpd00137
cit_p,cpd00137
citr-L_c,cpd00274
ckdo_c,cpd02546
cl_c,cpd00099
cl_e,cpd00099
cl_p,cpd00099
clpn120_p,cpd15425
clpn140_p,cpd15426
clpn141_p,cpd15427
clpn160_p,cpd15428
clpn161_p,cpd15429
clpn180_p,cpd15430
clpn181_p,cpd15431
cm_e,cpd00680
cm_p,cpd00680
cmp_c,cpd00046
cmp_e,cpd00046
cmp_p,cpd00046
co2_c,cpd00011
co2_e,cpd00011
co2_p,cpd00011
coa_c,cpd00010
cobalt2_c,cpd00149
cobalt2_e,cpd00149
cobalt2_p,cpd00149
colipa_c,cpd15432
colipa_e,cpd15432
colipa_p,cpd15432
colipap_e,NA
colipap_p,NA
cpe160_c,cpd15433
cpe180_c,cpd15434
cpg160_c,cpd15435
cpg180_c,cpd15436
cpgn-un_c,cpd15438
cpgn-un_e,cpd15438
cpgn-un_p,cpd15438
cpgn_c,cpd15437
cpgn_e,cpd15437
cpgn_p,cpd15437
cph4_c,cpd19838
cpmp_c,cpd18217
cpppg3_c,cpd02083
crn-D_c,cpd10719
crn-D_e,cpd10719
crn-D_p,cpd10719
crnDcoa_c,cpd15439
crn_c,cpd00266
crn_e,cpd00266
crn_p,cpd00266
crncoa_c,cpd15440
csn_c,cpd00307
csn_e,cpd00307
csn_p,cpd00307
ctbt_c,cpd08305
ctbt_p,cpd08305
ctbtcoa_c,cpd15441
ctp_c,cpd00052
cu2_c,cpd00058
cu2_e,cpd00058
cu2_p,cpd00058
cu_c,cpd00058
cu_e,cpd00058
cu_p,cpd00058
cyan_c,cpd00150
cyan_e,cpd00150
cyan_p,cpd00150
cynt_c,cpd01015
cynt_e,cpd01015
cynt_p,cpd01015
cys-D_c,cpd00587
cys-D_e,cpd00587
cys-D_p,cpd00587
cys-L_c,cpd00084
cys-L_e,cpd00084
cys-L_p,cpd00084
cyst-L_c,cpd00424
cystrna_c,cpd12255
cytd_c,cpd00367
cytd_e,cpd00367
cytd_p,cpd00367
dad-2_c,cpd00438
dad-2_e,cpd00438
dad-2_p,cpd00438
dad-5_c,cpd03091
dadp_c,cpd00177
damp_c,cpd00294
damp_e,cpd00294
damp_p,cpd00294
dann_c,cpd00764
datp_c,cpd00115
db4p_c,cpd11225
dc2coa_c,cpd03129
dcaACP_c,cpd11474
dca_c,cpd01107
dca_e,cpd01107
dca_p,cpd01107
dcacoa_c,cpd03128
dcamp_c,cpd02375
dcdp_c,cpd00533
dcmp_c,cpd00206
dcmp_e,cpd00206
dcmp_p,cpd00206
dctp_c,cpd00356
dcyt_c,cpd00654
dcyt_e,cpd00654
dcyt_p,cpd00654
dd2coa_c,cpd02060
ddcaACP_c,cpd11468
ddca_c,cpd01741
ddca_e,cpd01741
ddca_p,cpd01741
ddcacoa_c,cpd01260
ddcap_c,cpd19839
dgdp_c,cpd00295
dgmp_c,cpd00296
dgmp_e,cpd00296
dgmp_p,cpd00296
dgslnt_c,cpd18845
dgsn_c,cpd00277
dgsn_e,cpd00277
dgsn_p,cpd00277
dgtp_c,cpd00241
dha_c,cpd00157
dha_e,cpd00157
dha_p,cpd00157
dhap_c,cpd00095
dhcinnm_c,cpd09254
dhf_c,cpd00330
dhgly_c,cpd14545
dhmpt_c,cpd19840
dhmptp_c,cpd15443
dhna_c,cpd02295
dhnpt_c,cpd02961
dhor-S_c,cpd00282
dhpmp_c,cpd03521
dhpppn_c,cpd02501
dhpt_c,cpd00683
dhptd_c,cpd08636
dhptdn_c,cpd03360
didp_c,cpd00976
dimp_c,cpd03704
dimp_e,cpd03704
dimp_p,cpd03704
din_c,cpd03279
din_e,cpd03279
din_p,cpd03279
ditp_c,cpd00977
dmbzid_c,cpd01997
dmlz_c,cpd02656
dmpp_c,cpd00202
dms_c,cpd00450
dms_e,cpd00450
dms_p,cpd00450
dmso_c,cpd08021
dmso_e,cpd08021
dmso_p,cpd08021
dnad_c,cpd00638
dopa_e,cpd02357
dopa_p,cpd02357
doxrbcn_e,cpd01151
doxrbcn_p,cpd01151
dpcoa_c,cpd00655
dsbaox_p,cpd15446
dsbard_p,cpd15447
dsbcox_p,cpd15448
dsbcrd_p,cpd15449
dsbdox_c,cpd15450
dsbdrd_c,cpd15451
dsbgox_p,cpd15452
dsbgrd_p,cpd15453
dscl_c,cpd01620
dtbt_c,cpd01311
dtdp4aaddg_c,cpd15454
dtdp4addg_c,cpd02661
dtdp4d6dg_c,cpd00521
dtdp4d6dm_c,cpd00522
dtdp_c,cpd00297
dtdpglu_c,cpd00626
dtdprmn_c,cpd02113
dtmp_c,cpd00298
dtmp_e,cpd00298
dtmp_p,cpd00298
dttp_c,cpd00357
dudp_c,cpd00978
dump_c,cpd00299
dump_e,cpd00299
dump_p,cpd00299
duri_c,cpd00412
duri_e,cpd00412
duri_p,cpd00412
dutp_c,cpd00358
dxyl5p_c,cpd08289
dxyl_c,cpd03738
e4p_c,cpd00236
eca2und_p,cpd15455
eca3und_p,cpd15456
eca4colipa_e,cpd15457
eca4colipa_p,cpd15457
eca4und_p,cpd15458
egmeACP_c,cpd19841
eig3p_c,cpd02843
enlipa_e,cpd15459
enlipa_p,cpd15459
enter_c,cpd03453
enter_e,cpd03453
enter_p,cpd03453
epmeACP_c,cpd19842
etha_c,cpd00162
etha_e,cpd00162
etha_p,cpd00162
ethso3_c,cpd11579
ethso3_e,cpd11579
ethso3_p,cpd11579
etoh_c,cpd00363
etoh_e,cpd00363
etoh_p,cpd00363
f1p_c,cpd00802
f6p_c,cpd00072
f6p_e,cpd00072
f6p_p,cpd00072
fad_c,cpd00015
fadh2_c,cpd00982
fald_c,cpd00055
fald_e,cpd00055
fald_p,cpd00055
fc1p_c,cpd00806
fcl-L_c,cpd01186
fdp_c,cpd00290
fe2_c,cpd10515
fe2_e,cpd10515
fe2_p,cpd10515
fe3_c,cpd10516
fe3_e,cpd10516
fe3_p,cpd10516
fe3dcit_e,cpd03725
fe3dcit_p,cpd03725
fe3dhbzs_c,cpd15460
fe3dhbzs_e,cpd15460
fe3dhbzs_p,cpd15460
fe3hox-un_c,cpd15461
fe3hox-un_e,cpd15461
fe3hox-un_p,cpd15461
fe3hox_c,cpd12843
fe3hox_e,cpd12843
fe3hox_p,cpd12843
fecrm-un_c,cpd15462
fecrm-un_e,cpd15462
fecrm-un_p,cpd15462
fecrm_c,cpd03724
fecrm_e,cpd03724
fecrm_p,cpd03724
feenter_c,cpd03726
feenter_e,cpd03726
feenter_p,cpd03726
feoxam-un_c,cpd15463
feoxam-un_e,cpd15463
feoxam-un_p,cpd15463
feoxam_c,cpd04761
feoxam_e,cpd04761
feoxam_p,cpd04761
fgam_c,cpd02678
flxr_c,cpd12173
flxso_c,cpd12207
fmettrna_c,cpd12285
fmn_c,cpd00050
fmnh2_c,cpd01270
for_c,cpd00047
for_e,cpd00047
for_p,cpd00047
forcoa_c,cpd00592
fpram_c,cpd02826
fprica_c,cpd02884
frdp_c,cpd00350
fru_c,cpd00082
fru_e,cpd00082
fru_p,cpd00082
frulys_c,cpd15466
frulys_e,cpd15466
frulys_p,cpd15466
frulysp_c,cpd15467
fruur_c,cpd00672
fruur_e,cpd00672
fruur_p,cpd00672
fuc-L_c,cpd00751
fuc-L_e,cpd00751
fuc-L_p,cpd00751
fum_c,cpd00106
fum_e,cpd00106
fum_p,cpd00106
fusa_e,cpd04095
fusa_p,cpd04095
g1p_c,cpd00089
g1p_e,cpd00089
g1p_p,cpd00089
g3p_c,cpd00102
g3pc_c,cpd00507
g3pc_e,cpd00507
g3pc_p,cpd00507
g3pe_c,cpd00908
g3pe_e,cpd00908
g3pe_p,cpd00908
g3pg_c,cpd02090
g3pg_e,cpd02090
g3pg_p,cpd02090
g3pi_c,cpd00902
g3pi_e,cpd00902
g3pi_p,cpd00902
g3ps_c,cpd15468
g3ps_e,cpd15468
g3ps_p,cpd15468
g6p_c,cpd00079
g6p_e,cpd00079
g6p_p,cpd00079
gagicolipa_c,cpd15469
gal-bD_e,cpd00709
gal-bD_p,cpd00709
gal1p_c,cpd00348
gal1p_e,cpd00348
gal1p_p,cpd00348
gal_c,cpd00108
gal_e,cpd00108
gal_p,cpd00108
galct-D_c,cpd00652
galct-D_e,cpd00652
galct-D_p,cpd00652
galctn-D_c,cpd00653
galctn-D_e,cpd00653
galctn-D_p,cpd00653
galctn-L_c,cpd14659
galctn-L_e,cpd14659
galctn-L_p,cpd14659
galt1p_c,cpd03752
galt_e,cpd01171
galt_p,cpd01171
galur_c,cpd00280
galur_e,cpd00280
galur_p,cpd00280
gam1p_c,cpd03671
gam6p_c,cpd00288
gam6p_e,cpd00288
gam6p_p,cpd00288
gam_e,cpd00276
gam_p,cpd00276
gar_c,cpd02394
garagund_c,cpd15470
gbbtn_c,cpd15471
gbbtn_e,cpd15471
gbbtn_p,cpd15471
gcald_c,cpd00229
gdp_c,cpd00031
gdp_e,cpd00031
gdp_p,cpd00031
gdpddman_c,cpd00900
gdpfuc_c,cpd00272
gdpmann_c,cpd00083
gdpofuc_c,cpd15472
gdptp_c,cpd02740
gfgaragund_c,cpd15473
gg4abut_c,cpd11408
ggagicolipa_c,cpd15475
ggbutal_c,cpd11341
gggagicolipa_c,cpd15477
ggptrc_c,cpd15478
ghb_c,cpd00728
gicolipa_c,cpd15479
glc-D_c,cpd00027
glc-D_e,cpd00027
glc-D_p,cpd00027
glcn_c,cpd00222
glcn_e,cpd00222
glcn_p,cpd00222
glcr_c,cpd00609
glcr_e,cpd00609
glcr_p,cpd00609
glcur1p_e,cpd03191
glcur1p_p,cpd03191
glcur_c,cpd00164
glcur_e,cpd00164
glcur_p,cpd00164
gln-L_c,cpd00053
gln-L_e,cpd00053
gln-L_p,cpd00053
glntrna_c,cpd12060
glu-D_c,cpd00186
glu-L_c,cpd00023
glu-L_e,cpd00023
glu-L_p,cpd00023
glu1sa_c,cpd02345
glu5p_c,cpd02097
glu5sa_c,cpd00858
glucys_c,cpd00506
glutrna_c,cpd12227
glx_c,cpd00040
gly_c,cpd00033
gly_e,cpd00033
gly_p,cpd00033
glyald_c,cpd00448
glyald_e,cpd00448
glyald_p,cpd00448
glyb_c,cpd00540
glyb_e,cpd00540
glyb_p,cpd00540
glyc-R_c,cpd00223
glyc-R_e,cpd00223
glyc-R_p,cpd00223
glyc2p_c,cpd01908
glyc2p_e,cpd01908
glyc2p_p,cpd01908
glyc3p_c,cpd00080
glyc3p_e,cpd00080
glyc3p_p,cpd00080
glyc_c,cpd00100
glyc_e,cpd00100
glyc_p,cpd00100
glyclt_c,cpd00139
glyclt_e,cpd00139
glyclt_p,cpd00139
glycogen_c,cpd00155
glycogenn1_c,cpd15302
glytrna_c,cpd12100
gmeACP_c,cpd19843
gmhep17bp_c,cpd08316
gmhep1p_c,cpd04920
gmhep7p_c,cpd04918
gmp_c,cpd00126
gmp_e,cpd00126
gmp_p,cpd00126
gp4g_c,cpd00925
grdp_c,cpd00283
grxox_c,cpd15480
grxrd_c,cpd15481
gslnt_c,NA
gsn_c,cpd00311
gsn_e,cpd00311
gsn_p,cpd00311
gthox_c,cpd00111
gthox_e,cpd00111
gthox_p,cpd00111
gthrd_c,cpd00042
gthrd_e,cpd00042
gthrd_p,cpd00042
gtp_c,cpd00038
gtp_e,cpd00038
gtp_p,cpd00038
gtspmd_c,cpd03411
gua_c,cpd00207
gua_e,cpd00207
gua_p,cpd00207
h2_c,cpd11640
h2_e,cpd11640
h2_p,cpd11640
h2mb4p_c,cpd08615
h2o2_c,cpd00025
h2o2_e,cpd00025
h2o2_p,cpd00025
h2o_c,cpd00001
h2o_e,cpd00001
h2o_p,cpd00001
h2s_c,cpd00239
h2s_e,cpd00239
h2s_p,cpd00239
h_c,cpd00067
h_e,cpd00067
h_p,cpd00067
hacolipa_e,cpd15482
halipa_e,cpd15483
hco3_c,cpd00242
hcys-L_c,cpd00135
hdca_c,cpd00214
hdca_e,cpd00214
hdca_p,cpd00214
hdcap_c,cpd19844
hdcea_c,cpd15237
hdcea_e,cpd15237
