,seed_id
10fthf_c,cpd00201
13dpg_c,cpd00203
2ddg6p_c,cpd02711
2dmmq8_c,cpd15352
2dmmql8_c,cpd15353
2fe2s_c,NA
2h3oppan_c,cpd00843
2pg_c,cpd00482
3pg_c,cpd00169
4crsol_c,cpd01042
4fe4s_c,NA
5drib_c,cpd15380
5mthf_c,cpd00345
5mtr_e,cpd01981
5mtr_p,cpd01981
6pgc_c,cpd00284
6pgl_c,cpd00911
ac_c,cpd00029
ac_e,cpd00029
ac_p,cpd00029
acald_c,cpd00071
acald_e,cpd00071
acald_p,cpd00071
accoa_c,cpd00022
acon-C_c,cpd00331
acser_e,cpd00722
acser_p,cpd00722
actp_c,cpd00196
ade_p,cpd00128
adocbl_c,cpd00166
adp_c,cpd00008
adpglc_c,cpd00387
akg_c,cpd00024
akg_e,cpd00024
akg_p,cpd00024
ala-D_e,cpd00117
ala-D_p,cpd00117
ala-L_c,cpd00035
ala-L_e,cpd00035
ala-L_p,cpd00035
alaala_e,cpd00731
alaala_p,cpd00731
amet_c,cpd00017
amob_c,cpd02701
amp_c,cpd00018
arg-L_c,cpd00051
arg-L_e,cpd00051
arg-L_p,cpd00051
asn-L_c,cpd00132
asn-L_e,cpd00132
asn-L_p,cpd00132
asp-L_c,cpd00041
asp-L_e,cpd00041
asp-L_p,cpd00041
atp_c,cpd00002
bglycogen_c,cpd15413
bmocogdp_c,NA
btn_c,cpd00104
ca2_c,cpd00063
ca2_e,cpd00063
ca2_p,cpd00063
cbl1_e,cpd00635
cbl1_p,cpd00635
chor_c,cpd00216
cit_c,cpd00137
cit_e,cpd00137
cit_p,cpd00137
cl_c,cpd00099
cl_e,cpd00099
cl_p,cpd00099
clpn160_p,cpd15428
clpn161_p,cpd15429
clpn181_p,cpd15431
co2_c,cpd00011
co2_e,cpd00011
co2_p,cpd00011
coa_c,cpd00010
cobalt2_c,cpd00149
cobalt2_e,cpd00149
cobalt2_p,cpd00149
colipa_c,cpd15432
colipa_e,cpd15432
colipa_p,cpd15432
ctp_c,cpd00052
cu2_c,cpd00058
cu2_e,cpd00058
cu2_p,cpd00058
cys-L_c,cpd00084
cys-L_e,cpd00084
cys-L_p,cpd00084
datp_c,cpd00115
db4p_c,cpd11225
dctp_c,cpd00356
dgtp_c,cpd00241
dha_c,cpd00157
dha_e,cpd00157
dha_p,cpd00157
dhap_c,cpd00095
dhor-S_c,cpd00282
dttp_c,cpd00357
e4p_c,cpd00236
enter_c,cpd03453
enter_e,cpd03453
enter_p,cpd03453
etoh_c,cpd00363
etoh_e,cpd00363
etoh_p,cpd00363
f6p_c,cpd00072
fad_c,cpd00015
fdp_c,cpd00290
fe2_c,cpd10515
fe2_e,cpd10515
fe2_p,cpd10515
fe3_c,cpd10516
fe3_e,cpd10516
fe3_p,cpd10516
flxr_c,cpd12173
flxso_c,cpd12207
for_c,cpd00047
for_e,cpd00047
for_p,cpd00047
fum_c,cpd00106
g1p_c,cpd00089
g3p_c,cpd00102
g6p_c,cpd00079
glc-D_c,cpd00027
glc-D_e,cpd00027
glc-D_p,cpd00027
glcn_e,cpd00222
glcn_p,cpd00222
gln-L_c,cpd00053
glu-L_c,cpd00023
glu-L_e,cpd00023
glu-L_p,cpd00023
glx_c,cpd00040
gly_c,cpd00033
gly_e,cpd00033
gly_p,cpd00033
glyc-R_c,cpd00223
glyc-R_e,cpd00223
glyc-R_p,cpd00223
glyc3p_c,cpd00080
glyc_c,cpd00100
glyc_e,cpd00100
glyc_p,cpd00100
glyclt_c,cpd00139
glyclt_e,cpd00139
glyclt_p,cpd00139
glycogen_c,cpd00155
glycogenn1_c,cpd15302
gthrd_c,cpd00042
gthrd_e,cpd00042
gthrd_p,cpd00042
gtp_c,cpd00038
h2o2_c,cpd00025
h2o_c,cpd00001
h2o_e,cpd00001
h2o_p,cpd00001
h_c,cpd00067
h_e,cpd00067
h_p,cpd00067
hemeO_c,cpd11313
his-L_c,cpd00119
his-L_e,cpd00119
his-L_p,cpd00119
iasp_c,cpd03470
icit_c,cpd00260
ile-L_c,cpd00322
ile-L_e,cpd00322
ile-L_p,cpd00322
k_c,cpd00205
k_e,cpd00205
k_p,cpd00205
lac-D_c,cpd00221
lac-D_e,cpd00221
lac-D_p,cpd00221
leu-L_c,cpd00107
leu-L_e,cpd00107
leu-L_p,cpd00107
lipopb_c,NA
lys-L_c,cpd00039
lys-L_e,cpd00039
lys-L_p,cpd00039
mal-L_c,cpd00130
mal-L_e,cpd00130
mal-L_p,cpd00130
malcoa_c,cpd00070
meoh_e,cpd00116
meoh_p,cpd00116
met-L_c,cpd00060
mg2_c,cpd00254
mg2_e,cpd00254
mg2_p,cpd00254
mlthf_c,cpd00125
mn2_c,cpd00030
mn2_e,cpd00030
mn2_p,cpd00030
mobd_c,cpd11574
mobd_e,cpd11574
mobd_p,cpd11574
mococdp_c,cpd19850
mocogdp_c,cpd19851
mql8_c,cpd15499
mqn8_c,cpd15500
mththf_c,cpd19853
murein3p3p_p,cpd15501
murein3px4p_p,cpd15503
murein4p4p_p,cpd15505
murein4px4p_p,cpd15506
murein4px4px4p_p,cpd15508
na1_c,cpd00971
na1_p,cpd00971
nad_c,cpd00003
nadh_c,cpd00004
nadp_c,cpd00006
nadph_c,cpd00005
nh4_c,cpd00013
nh4_e,cpd00013
nh4_p,cpd00013
ni2_c,cpd00244
ni2_e,cpd00244
ni2_p,cpd00244
o2_c,cpd00007
o2_e,cpd00007
o2_p,cpd00007
oaa_c,cpd00032
orot_c,cpd00247
pe160_c,cpd15531
pe160_p,cpd15531
pe161_c,cpd15532
pe161_p,cpd15532
pe181_c,cpd15534
pe181_p,cpd15534
pep_c,cpd00061
pg160_c,cpd15538
pg160_p,cpd15538
pg161_c,cpd15539
pg161_p,cpd15539
pg181_c,cpd15541
pg181_p,cpd15541
phe-L_c,cpd00066
phe-L_e,cpd00066
phe-L_p,cpd00066
pheme_c,cpd00028
pheme_e,cpd00028
pheme_p,cpd00028
pi_c,cpd00009
pi_e,cpd00009
pi_p,cpd00009
ppi_c,cpd00012
ppp9_c,cpd01476
pppg9_c,cpd00791
pppi_c,cpd00421
pro-L_c,cpd00129
pro-L_e,cpd00129
pro-L_p,cpd00129
ptrc_c,cpd00118
pydx5p_c,cpd00016
pyr_c,cpd00020
pyr_e,cpd00020
pyr_p,cpd00020
q8_c,cpd15560
q8h2_c,cpd15561
r5p_c,cpd00101
ribflv_c,cpd00220
ru5p-D_c,cpd00171
s17bp_c,cpd00349
s7p_c,cpd00238
ser-L_c,cpd00054
ser-L_e,cpd00054
ser-L_p,cpd00054
sheme_c,cpd00557
so4_c,cpd00048
so4_e,cpd00048
so4_p,cpd00048
spmd_c,cpd00264
spmd_e,cpd00264
spmd_p,cpd00264
succ_c,cpd00036
succ_e,cpd00036
succ_p,cpd00036
succoa_c,cpd00078
thf_c,cpd00087
thmpp_c,cpd00056
thr-L_c,cpd00161
thr-L_e,cpd00161
thr-L_p,cpd00161
trdox_c,cpd11420
trdrd_c,cpd11421
trp-L_c,cpd00065
trp-L_e,cpd00065
trp-L_p,cpd00065
tyr-L_c,cpd00069
tyr-L_e,cpd00069
tyr-L_p,cpd00069
udcpdp_c,cpd02229
utp_c,cpd00062
val-L_c,cpd00156
val-L_e,cpd00156
val-L_p,cpd00156
xu5p-D_c,cpd00198
zn2_c,cpd00034
zn2_e,cpd00034
zn2_p,cpd00034
